,code,name,mbrg,nprg,nav,targ,epsg,seg
3277,002420,毅昌股份,18.5589,,2.7109,9.5806,-178.5714,2.7197
3278,600689,上海三毛,-22.4639,,26.3929,-6.736,-230.4348,27.5284
3279,600275,*ST昌鱼,1.4602,,2.6347,16.4768,-114.7135,2.6882
3280,000638,万方发展,94.1025,,4.9515,109.5206,-125.1928,7.2777
3281,002432,九安医疗,4.3882,,1.358,7.366,-250.0,1.3698
3282,000659,*ST中富,-15.1957,,0.5192,-18.3046,-103.4884,3.8876
3283,002099,海翔药业,13.6509,,402.3258,97.5525,-156.0,411.0407
3284,600715,文投控股,-80.1475,,-452.0281,-27.341,75.0,-486.8301
3285,600307,酒钢宏兴,1.2514,,-0.2589,-7.4367,-101.6604,-0.1044
3286,601866,中远海发,5.5108,,2.7229,5.3609,-140.0883,4.295
3287,002115,三维通信,14.2959,,1.5735,2.4368,-110.2977,1.5592
3288,601890,亚星锚链,8.4619,,1.2817,2.1311,-242.6339,1.2943
3289,002127,南极电商,-61.9488,,-0.3333,-67.5495,-101.7094,0.4173
3290,000710,贝瑞基因,4.3505,,7.4635,8.7224,-211.7141,12.6382
3291,002143,印纪传媒,-30.1253,,89.2271,9.4478,-513.7931,126.5513
3292,600751,天海投资,26.3118,,36505.3487,3824.3638,-157.7793,28315.5551
3293,600345,长江通信,-18.6116,,9.1578,-15.761,-155.0,10.2222
3294,002147,新光圆成,-2.3189,,-0.4499,-6.7799,-105.9391,0.1555
3295,600355,精伦电子,21.5093,,1.4771,-4.2556,-108.6957,1.4728
3296,002504,*ST弘高,1286.8767,,1.3288,170.5723,-727.2727,4.4169
3297,002163,中航三鑫,19.6052,,-6.1179,-2.4784,-103.125,1.6077
3298,002167,东方锆业,46.0511,,-1.5263,-3.718,-105.8824,-1.6078
3299,000779,三毛派神,20.5992,,3.6654,82.5983,-127.7778,3.6654
