,code,name,date,weight
221,002019,亿帆医药,2017-06-01,0.22
222,000062,深圳华强,2017-06-01,0.17
223,600643,爱建集团,2017-06-01,0.6
224,600864,哈投股份,2017-06-01,0.07
225,002261,拓维信息,2017-06-01,0.21
226,300039,上海凯宝,2017-06-01,0.13
227,603001,奥康国际,2017-06-01,0.08
228,002018,华信国际,2017-06-01,0.16
229,600120,浙江东方,2017-06-01,0.21
230,600823,世茂股份,2017-06-01,0.15
231,600879,航天电子,2017-06-01,0.32
232,000975,银泰资源,2017-06-01,0.22
233,300001,特锐德,2017-06-01,0.17
234,000726,鲁 泰Ａ,2017-06-01,0.15
235,002640,跨境通,2017-06-01,0.22
236,600151,航天机电,2017-06-01,0.17
237,000697,炼石有色,2017-06-01,0.25
238,000829,天音控股,2017-06-01,0.16
239,600315,上海家化,2017-06-01,0.42
240,601801,皖新传媒,2017-06-01,0.15
241,000959,首钢股份,2017-06-01,0.29
242,601929,吉视传媒,2017-06-01,0.2
243,000050,深天马Ａ,2017-06-01,0.25
244,002690,美亚光电,2017-06-01,0.14
245,002073,软控股份,2017-06-01,0.14
246,000021,深科技,2017-06-01,0.17
247,600335,国机汽车,2017-06-01,0.09
248,000598,兴蓉环境,2017-06-01,0.27
249,600067,冠城大通,2017-06-01,0.18
250,002028,思源电气,2017-06-01,0.25
251,002155,湖南黄金,2017-06-01,0.18
252,603568,伟明环保,2017-06-01,0.08
253,600880,博瑞传播,2017-06-01,0.13
254,600736,苏州高新,2017-06-01,0.13
255,002325,洪涛股份,2017-06-01,0.14
256,000861,海印股份,2017-06-01,0.11
257,600481,双良节能,2017-06-01,0.13
258,002106,莱宝高科,2017-06-01,0.15
259,601233,桐昆股份,2017-06-01,0.12
260,600967,内蒙一机,2017-06-01,0.22
261,600325,华发股份,2017-06-01,0.3
262,002005,德豪润达,2017-06-01,0.12
263,600537,亿晶光电,2017-06-01,0.12
264,600496,精工钢构,2017-06-01,0.16
265,300266,兴源环境,2017-06-01,0.35
266,600094,大名城,2017-06-01,0.24
267,002242,九阳股份,2017-06-01,0.16
268,000541,佛山照明,2017-06-01,0.15
269,002414,高德红外,2017-06-01,0.09
270,600160,巨化股份,2017-06-01,0.26
271,000631,顺发恒业,2017-06-01,0.08
272,002342,巨力索具,2017-06-01,0.22
273,600881,亚泰集团,2017-06-01,0.26
274,002440,闰土股份,2017-06-01,0.19
275,600743,华远地产,2017-06-01,0.11
276,002308,威创股份,2017-06-01,0.17
277,603528,多伦科技,2017-06-01,0.07
278,603698,航天工程,2017-06-01,0.08
279,002093,国脉科技,2017-06-01,0.09
280,000988,华工科技,2017-06-01,0.23
281,300147,香雪制药,2017-06-01,0.13
282,000025,特 力Ａ,2017-06-01,0.05
283,600098,广州发展,2017-06-01,0.16
284,600329,中新药业,2017-06-01,0.13
285,000528,柳 工,2017-06-01,0.17
286,600388,龙净环保,2017-06-01,0.33
287,601886,江河集团,2017-06-01,0.14
288,600657,信达地产,2017-06-01,0.12
289,002439,启明星辰,2017-06-01,0.3
290,000547,航天发展,2017-06-01,0.26
291,600863,内蒙华电,2017-06-01,0.24
292,600436,片仔癀,2017-06-01,0.46
293,002699,美盛文化,2017-06-01,0.09
294,002588,史丹利,2017-06-01,0.1
